regiao,estado,municipio,revenda,cnpj,endereco,rua,complemento,bairro,cep,produto,data,valor_venda,valor_compra,unidade_medida,bandeira
SE,SP,CUBATAO,AUTO POSTO SHALON DA NOVE DE ABRIL LTDA," 46.480.414/0001-66",AVENIDA NOVE DE ABRIL,2590,,CENTRO,11510-003,ETANOL,01/12/2022,4,,R$ / litro,RAIZEN
SE,SP,CUBATAO,AUTO POSTO SHALON DA NOVE DE ABRIL LTDA," 46.480.414/0001-66",AVENIDA NOVE DE ABRIL,2590,,CENTRO,11510-003,GASOLINA ADITIVADA,01/12/2022,5.3,,R$ / litro,RAIZEN
SE,SP,CUBATAO,AUTO POSTO SHALON DA NOVE DE ABRIL LTDA," 46.480.414/0001-66",AVENIDA NOVE DE ABRIL,2590,,CENTRO,11510-003,GASOLINA,01/12/2022,5,,R$ / litro,RAIZEN
SE,SP,MIRASSOL,AUTO POSTO MAMIAN LTDA.," 08.441.444/0001-74",AVENIDA ENGENHEIRO NEWTON FLÁVIO SILVA PINTO,26-45,,RESIDENCIAL CELINA DALUL,15130-000,ETANOL,01/12/2022,3.6,,R$ / litro,IPIRANGA
SE,SP,MIRASSOL,AUTO POSTO MAMIAN LTDA.," 08.441.444/0001-74",AVENIDA ENGENHEIRO NEWTON FLÁVIO SILVA PINTO,26-45,,RESIDENCIAL CELINA DALUL,15130-000,GASOLINA,01/12/2022,4.9,,R$ / litro,IPIRANGA
SE,SP,MIRASSOL,POSTO ITAMARATI STAR ONE LTDA.," 05.764.281/0001-72",RUA FREI GIL MARIA,3630,,JARDIM ALVORADA,15130-000,ETANOL,01/12/2022,3.6,,R$ / litro,VIBRA ENERGIA
SE,SP,MIRASSOL,POSTO ITAMARATI STAR ONE LTDA.," 05.764.281/0001-72",RUA FREI GIL MARIA,3630,,JARDIM ALVORADA,15130-000,GASOLINA ADITIVADA,01/12/2022,5.1,,R$ / litro,VIBRA ENERGIA
SE,SP,MIRASSOL,POSTO ITAMARATI STAR ONE LTDA.," 05.764.281/0001-72",RUA FREI GIL MARIA,3630,,JARDIM ALVORADA,15130-000,GASOLINA,01/12/2022,5,,R$ / litro,VIBRA ENERGIA
SE,SP,MIRASSOL,AUTO POSTO PASSARELLA DE MIRASSOL LTDA," 02.702.532/0001-04",AVENIDA MODESTO JOSE MOREIRA JR,2811,,PORTAL,15130-001,ETANOL,01/12/2022,3.6,,R$ / litro,ALESAT
SE,SP,MIRASSOL,AUTO POSTO PASSARELLA DE MIRASSOL LTDA," 02.702.532/0001-04",AVENIDA MODESTO JOSE MOREIRA JR,2811,,PORTAL,15130-001,GASOLINA ADITIVADA,01/12/2022,5,,R$ / litro,ALESAT
SE,SP,MIRASSOL,AUTO POSTO PASSARELLA DE MIRASSOL LTDA," 02.702.532/0001-04",AVENIDA MODESTO JOSE MOREIRA JR,2811,,PORTAL,15130-001,GASOLINA,01/12/2022,4.9,,R$ / litro,ALESAT
SE,SP,MOGI GUACU,COMÉRCIO DE COMBUSTÍVEIS STAR PETRO LTDA.," 07.888.963/0001-12",RUA PAULA BUENO,2643,,JARDIM SAMIRA,13841-010,ETANOL,01/12/2022,3.9,,R$ / litro,IPIRANGA
SE,SP,MOGI GUACU,COMÉRCIO DE COMBUSTÍVEIS STAR PETRO LTDA.," 07.888.963/0001-12",RUA PAULA BUENO,2643,,JARDIM SAMIRA,13841-010,GASOLINA ADITIVADA,01/12/2022,5.3,,R$ / litro,IPIRANGA
SE,SP,MOGI GUACU,COMÉRCIO DE COMBUSTÍVEIS STAR PETRO LTDA.," 07.888.963/0001-12",RUA PAULA BUENO,2643,,JARDIM SAMIRA,13841-010,GASOLINA,01/12/2022,5.1,,R$ / litro,IPIRANGA
SE,SP,MOGI MIRIM,AUTO POSTO GUAÇU MIRIM LTDA," 58.861.238/0001-91",RUA PADRE ROQUE,2348,,CENTRO,13800-207,ETANOL,01/12/2022,4,,R$ / litro,TAURUS
SE,SP,MOGI MIRIM,AUTO POSTO GUAÇU MIRIM LTDA," 58.861.238/0001-91",RUA PADRE ROQUE,2348,,CENTRO,13800-207,GASOLINA,01/12/2022,5.1,,R$ / litro,TAURUS
SE,SP,SALTO,CARREFOUR COMERCIO E INDUSTRIA LTDA," 45.543.915/0379-30",RUA CAMPOS SALES,725,SETOR I,VILA NOVA,13322-060,ETANOL,01/12/2022,3.8,,R$ / litro,BRANCA
SE,SP,SALTO,CARREFOUR COMERCIO E INDUSTRIA LTDA," 45.543.915/0379-30",RUA CAMPOS SALES,725,SETOR I,VILA NOVA,13322-060,GASOLINA ADITIVADA,01/12/2022,5.1,,R$ / litro,BRANCA
SE,SP,SALTO,CARREFOUR COMERCIO E INDUSTRIA LTDA," 45.543.915/0379-30",RUA CAMPOS SALES,725,SETOR I,VILA NOVA,13322-060,GASOLINA,01/12/2022,4.9,,R$ / litro,BRANCA
SE,SP,SALTO,AUTO POSTO RODOSALTO LTDA," 64.956.352/0001-06",RUA RIO BRANCO,1720,,CHACARA VENDRAMINI,13320-271,ETANOL,01/12/2022,3.5,,R$ / litro,BRANCA
SE,SP,SALTO,AUTO POSTO RODOSALTO LTDA," 64.956.352/0001-06",RUA RIO BRANCO,1720,,CHACARA VENDRAMINI,13320-271,GASOLINA,01/12/2022,4.5,,R$ / litro,BRANCA
SE,SP,SALTO,VIA REGIO AUTO CENTER LTDA," 00.401.856/0001-79",RUA RIO BRANCO,1470,,CENTRO,13320-271,ETANOL,01/12/2022,4,,R$ / litro,IPIRANGA
SE,SP,SALTO,VIA REGIO AUTO CENTER LTDA," 00.401.856/0001-79",RUA RIO BRANCO,1470,,CENTRO,13320-271,GASOLINA ADITIVADA,01/12/2022,5.2,,R$ / litro,IPIRANGA
SE,SP,SALTO,VIA REGIO AUTO CENTER LTDA," 00.401.856/0001-79",RUA RIO BRANCO,1470,,CENTRO,13320-271,GASOLINA,01/12/2022,5,,R$ / litro,IPIRANGA
SE,SP,VALINHOS,CENTRO AUTOMOTIVO DE VALINHOS LTDA," 56.967.045/0001-94",RODOVIA FLAVIO DE CARVALHO,1753,,VILA CAPUAVA,13273-000,GASOLINA ADITIVADA,02/12/2022,5,,R$ / litro,BRANCA
SE,SP,VALINHOS,CENTRO AUTOMOTIVO DE VALINHOS LTDA," 56.967.045/0001-94",RODOVIA FLAVIO DE CARVALHO,1753,,VILA CAPUAVA,13273-000,GASOLINA,02/12/2022,4.9,,R$ / litro,BRANCA
SE,SP,VALINHOS,CENTRO AUTOMOTIVO DE VALINHOS LTDA," 56.967.045/0001-94",RODOVIA FLAVIO DE CARVALHO,1753,,VILA CAPUAVA,13273-000,ETANOL,02/12/2022,3.8,,R$ / litro,BRANCA
SE,SP,VALINHOS,AUTO POSTO CINCO ESTRELAS DE VALINHOS LTDA," 53.628.517/0001-96",RUA DOZE DE OUTUBRO,759,,VILA SANTANA,13274-125,ETANOL,02/12/2022,3.9,,R$ / litro,RAIZEN
SE,SP,VALINHOS,AUTO POSTO CINCO ESTRELAS DE VALINHOS LTDA," 53.628.517/0001-96",RUA DOZE DE OUTUBRO,759,,VILA SANTANA,13274-125,GASOLINA ADITIVADA,02/12/2022,5,,R$ / litro,RAIZEN
SE,SP,VALINHOS,AUTO POSTO CINCO ESTRELAS DE VALINHOS LTDA," 53.628.517/0001-96",RUA DOZE DE OUTUBRO,759,,VILA SANTANA,13274-125,GASOLINA,02/12/2022,5,,R$ / litro,RAIZEN
SE,SP,VALINHOS,AUTO POSTO APEX LTDA," 02.438.769/0001-11",RODOVIA FLAVIO DE CARVALHO,1618,,JD. ITAPUA,13273-000,ETANOL,02/12/2022,3.8,,R$ / litro,BRANCA
